x,Value,category
C2,1u,Device
C6,1u,Device
C3,1u,Device
C5,10u,Device
C7,100p,Device
C4,100p,Device
C1,100p,Device
U1,ADS7950SDBTR,IC
U2,MCP6004,Amplifier_Operational
R2,10k,Device
R1,10k,Device
R4,10k,Device
U4,MCP4011-xxxxMS,Potentiometer_Digital
J1,RJ45,Connector
U3,3DV15_A_S0900J,PREMO_coils
C11,100n,Device
C10,100n,Device
R7,15k,Device
R6,15k,Device
C9,100n,Device
C8,100n,Device
R5,15k,Device
R3,15k,Device
J3,Conn_01x02_Male,Connector
J2,Conn_01x03_Male,Connector
J6,Conn_01x04_Male,Connector
J5,Conn_01x01_Male,Connector
J7,Conn_01x01_Male,Connector
J4,Conn_01x04_Male,Connector
